round,reward,profit,win_rate,bid_value_ratio,budget_remaining_ratio
153,-1.222572066302307,-0.10526938649294593,0.6,1.267753306884629,0.9702333342822029
154,-1.7691620490673092,-0.3077922253709229,0.65,1.9336809644252024,0.9698663822355994
155,-0.5513166399255667,-0.31178599834507814,0.7,1.9989494172025288,0.9697539800186035
156,0.0,0.0,0.7,0.49878191073580663,0.9697539800186035
157,0.0,0.0,0.65,0.5083617841465896,0.9697539800186035
158,-1.7247385310116017,-0.20696246808327068,0.65,1.1325664402628863,0.9693752766721602
159,0.0,0.0,0.65,0.506323761759208,0.9693752766721602
160,-0.6649201849424444,-0.17986542883335366,0.7,1.1510388016008366,0.9692117235979708
161,0.0,0.0,0.65,0.4408131257351582,0.9692117235979708
162,-1.8803271607651018,-0.13121737283474566,0.65,1.20040392231663,0.9687848257254853
163,0.0,0.0,0.6,0.5972818987540074,0.9687848257254853
164,0.0,0.0,0.6,0.4987967255285729,0.9687848257254853
165,0.0,0.0,0.55,0.8560628638185334,0.9687848257254853
166,0.0,0.0,0.55,0.5698851508869525,0.9687848257254853
167,-0.8185372392549278,-0.26784514688651306,0.55,1.229941541762339,0.9686075982062419
168,-1.998091922063685,-0.18407306880994767,0.55,1.3308783709419565,0.968167177611814
169,-0.5396485964993346,-0.07263625904761328,0.6,2.029910515181983,0.9680073833748448
170,0.0,0.0,0.55,0.7585868207623425,0.9680073833748448
171,0.0,0.0,0.5,0.49597073283206883,0.9680073833748448
172,-1.6843010594157066,-0.1394126870448904,0.5,1.2900344637465706,0.9676230316306009
173,-1.3707337135213455,-0.19565016644269928,0.5,1.9790828070996411,0.9673157225582928
174,0.0,0.0,0.45,0.49671193843702643,0.9673157225582928
175,-2.494530061000843,-0.2718134619423189,0.45,1.3459968675344358,0.9667901566001558
176,0.0,0.0,0.45,0.9753915602140097,0.9667901566001558
177,0.0,0.0,0.45,0.9661677563021842,0.9667901566001558
178,0.0,0.0,0.4,0.9487806703043408,0.9667901566001558
179,0.0,0.0,0.4,0.5341804087629521,0.9667901566001558
180,-1.3679605048548387,-0.19035767833473205,0.4,1.2168952307245346,0.966482322677964
181,-2.3721781200177934,-0.46041929691749317,0.45,1.4656060721687199,0.9660215395898181
182,0.0,0.0,0.4,0.5073715087645511,0.9660215395898181
183,-2.89472528632738,-0.13523251361331567,0.45,1.9939014055244613,0.9653841452621693
184,-0.2263957560280015,-0.073848403509015,0.5,1.9447678982172298,0.9652898645637279
185,0.0,0.0,0.5,0.8341853058128172,0.9652898645637279
186,0.0,0.0,0.5,0.47605369321629376,0.9652898645637279
187,-2.40610486073494,-0.019152443205632252,0.5,1.3334688727339044,0.9647300828100759
188,-0.8417144546704037,-0.2059758296653902,0.5,1.3676367163821739,0.9645351372631998
189,-0.8781892096220616,-0.3833169897493529,0.5,2.057611440826907,0.9643695388840597
190,0.0,0.0,0.5,0.48575402275602286,0.9643695388840597
191,-1.3289834531059717,-0.18676024750402398,0.55,1.6570213655542212,0.9640690757162259
192,-0.6698893253682491,-0.04966304644045483,0.55,1.9959623136855016,0.9638773619081159
193,0.0,0.0,0.5,0.815060410185111,0.9638773619081159
194,-2.8997691925834435,-0.2513639398360521,0.55,1.286633694448977,0.9632631108137936
195,0.0,0.0,0.5,0.5026861226571245,0.9632631108137936
196,-2.443398885867273,-0.1081940516945501,0.55,1.3560474102894844,0.9627141098066742
197,-1.4937913955899278,-0.12920059942563178,0.6,1.6097133990547907,0.9623673200574734
198,0.0,0.0,0.6,0.4526411188653612,0.9623673200574734
199,-3.0061542914226838,-0.25066884153429037,0.65,2.0079767186880804,0.9617307605887466
